entity_id,name,area,device,platform,domain,disabled,hidden
ai_task.google_ai_task,Google AI Task,,Google AI Task,google_generative_ai_conversation,ai_task,False,False
automation.activate_love_done_on_neon_off,Activate love done on neon off,,,automation,automation,False,False
automation.ai_testing,Ai testing,,,automation,automation,False,False
automation.alert_on_detection,Alert on detection,,,automation,automation,False,False
automation.brighten_bathroom_led_on_switch_double,Brighten bathroom led on switch double,Bathroom,,automation,automation,False,False
automation.brighten_bathroom_lights_during_day,Brighten bathroom lights during day,,,automation,automation,False,False
automation.brighten_olaf_s_led_controller,Brighten Olaf's Led controller,,,automation,automation,False,False
automation.brighten_zoe_s_led_controller,Brighten Zoe's led controller,,,automation,automation,False,False
automation.decrease_led_brightness_on_knob,Decrease led brightness on knob,Bedroom,,automation,automation,False,False
automation.dim_bathroom_led_after_sunset,Dim bathroom led after midnight,,,automation,automation,False,False
automation.dim_bathroom_led_on_switch_double,Dim bathroom led on switch double,Bathroom,,automation,automation,False,False
automation.dim_olafs_led_controller,Dim Olafs led controller,,,automation,automation,False,False
automation.dim_zoe_s_led_controller,Dim zoe's led controller,,,automation,automation,False,False
automation.enable_making_love_on_neon_on_2,Enable making love on neon on,,,automation,automation,False,False
automation.enable_making_love_scene_on_handler_state_on,Enable making love scene on handler state on,,,automation,automation,False,False
automation.entrance_led_light_link,Link Entrance Led,Entrance,,automation,automation,False,False
automation.fall_screen_on_entertainment_switch_button,Fall screen on entertainment switch button,,,automation,automation,False,False
automation.greeting_tomasz,Greeting Tomasz,,,automation,automation,False,False
automation.hot_tub_apply_the_scheduled_setpoint,Hot tub · apply the scheduled setpoint,,,automation,automation,False,False
automation.identyfikuj_pania_renatke,Identyfikuj Pania Renatke,,,automation,automation,False,False
automation.increase_led_controller_brightness_on_knob,Increase led controller brightness on knob,Bedroom,,automation,automation,False,False
automation.keep_extender_on,Keep extender on,,,automation,automation,False,False
automation.led_max_brightness_on_knob,Led max brightness on knob,Bedroom,,automation,automation,False,False
automation.led_min_brightness_on_knob,Led min brightness on knob,Bedroom,,automation,automation,False,False
automation.link_atrium_switches,Link atrium switches,,,automation,automation,False,False
automation.link_bathroom_led_and_switch,Link bathroom led and switch,Bathroom,,automation,automation,False,False
automation.link_beam_led_and_switch,Link beam led and switch,,,automation,automation,False,False
automation.link_bedroom_led_and_switch,Link bedroom led and switches,Bedroom,,automation,automation,False,False
automation.link_cabinet_led_and_switch_2,Link cabinet led and switch,Kitchen,,automation,automation,False,False
automation.link_entrance_closet,Link Entrance Closet,Entrance,,automation,automation,False,False
automation.link_entrance_main_light,Link entrance main light,,,automation,automation,False,False
automation.link_hall_entrance_switches,Link hall entrance switches,Hall,,automation,automation,False,False
automation.link_hall_rooms_lights,Link hall rooms lights,Hall,,automation,automation,False,False
automation.link_iceicles_and_switch,Link iceicles and switch,Entrance,,automation,automation,False,False
automation.link_island_switches,Link island switches,Kitchen,,automation,automation,False,False
